"","rep","SS1","SS2","fs1","fs2","cs","sdc","seed","genseed","filename"
"33",1,32,0,0.1,-0.01,0.1,1000,37,789,"Data/Test4/pop_seed_37genseed_789SS1_320_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"34",1,33,0,0.1,-0.01,0.1,1000,45,789,"Data/Test4/pop_seed_45genseed_789SS1_330_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"35",1,34,0,0.1,-0.01,0.1,1000,29,789,"Data/Test4/pop_seed_29genseed_789SS1_340_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"36",1,35,0,0.1,-0.01,0.1,1000,15,789,"Data/Test4/pop_seed_15genseed_789SS1_350_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"37",1,36,0,0.1,-0.01,0.1,1000,48,789,"Data/Test4/pop_seed_48genseed_789SS1_360_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"38",1,37,0,0.1,-0.01,0.1,1000,36,789,"Data/Test4/pop_seed_36genseed_789SS1_370_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"39",1,38,0,0.1,-0.01,0.1,1000,30,789,"Data/Test4/pop_seed_30genseed_789SS1_380_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"40",1,39,0,0.1,-0.01,0.1,1000,28,789,"Data/Test4/pop_seed_28genseed_789SS1_390_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"41",1,40,0,0.1,-0.01,0.1,1000,49,789,"Data/Test4/pop_seed_49genseed_789SS1_400_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"42",1,41,0,0.1,-0.01,0.1,1000,10,789,"Data/Test4/pop_seed_10genseed_789SS1_410_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"43",1,42,0,0.1,-0.01,0.1,1000,43,789,"Data/Test4/pop_seed_43genseed_789SS1_420_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"44",1,43,0,0.1,-0.01,0.1,1000,6,789,"Data/Test4/pop_seed_6genseed_789SS1_430_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"45",1,44,0,0.1,-0.01,0.1,1000,22,789,"Data/Test4/pop_seed_22genseed_789SS1_440_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"46",1,45,0,0.1,-0.01,0.1,1000,7,789,"Data/Test4/pop_seed_7genseed_789SS1_450_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"47",1,46,0,0.1,-0.01,0.1,1000,23,789,"Data/Test4/pop_seed_23genseed_789SS1_460_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"48",1,47,0,0.1,-0.01,0.1,1000,27,789,"Data/Test4/pop_seed_27genseed_789SS1_470_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"49",1,48,0,0.1,-0.01,0.1,1000,46,789,"Data/Test4/pop_seed_46genseed_789SS1_480_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"50",1,49,0,0.1,-0.01,0.1,1000,38,789,"Data/Test4/pop_seed_38genseed_789SS1_490_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"51",1,50,0,0.1,-0.01,0.1,1000,9,789,"Data/Test4/pop_seed_9genseed_789SS1_500_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
